Year,Team,Opponent,Team_Points,Opponent_Points
2014,georgetown,northeastern,56,63
2014,georgetown,kansas-state,90,63
2014,georgia,wofford,72,52
2014,georgia,georgia-tech,71,80
2014,georgia,davidson,82,94
2014,georgia,temple,81,83
2014,georgia-southern,miami-fl,80,81
2014,georgia-southern,west-virginia,68,101
2014,georgia-state,vanderbilt,80,86
2014,georgia-state,mcneese-state,96,70
2014,georgia-state,alabama,58,75
2014,georgia-tech,presbyterian,88,57
2014,georgia-tech,delaware-state,68,50
2014,georgia-tech,georgia,80,71
2014,georgia-tech,dayton,72,82
2014,gonzaga,bryant,100,76
2014,gonzaga,colorado-state,93,61
2014,gonzaga,oakland,82,67
2014,gonzaga,washington-state,90,74
2014,grambling,depaul,58,96
2014,grambling,marquette,71,114
2014,grambling,missouri-state,67,97
2014,grand-canyon,loyola-marymount,75,78
2014,grand-canyon,san-diego,59,70
2014,grand-canyon,utah,54,79
2014,grand-canyon,savannah-state,72,71
2014,green-bay,wisconsin,66,69
2014,hampton,william-mary,77,69
2014,hampton,saint-peters,64,59
2014,hampton,delaware,79,90
2014,hampton,quinnipiac,68,71
2014,hartford,quinnipiac,77,82
2014,hartford,florida-gulf-coast,51,65
2014,hartford,fairfield,63,53
2014,hartford,fairleigh-dickinson,74,60
2014,hartford,louisville,48,87
2014,harvard,holy-cross,82,72
2014,harvard,howard,76,44
2014,harvard,bryant,86,68
2014,hawaii,tennessee-state,85,55
2014,hawaii,western-michigan,78,68
2014,hawaii,new-mexico-state,88,95
2014,hawaii,missouri,80,92
2014,high-point,north-carolina-greensboro,74,82
2014,high-point,eastern-kentucky,67,74
2014,high-point,william-mary,80,69
2014,hofstra,monmouth,84,88
2014,hofstra,fairleigh-dickinson,80,58
2014,hofstra,louisville,69,97
2014,hofstra,richmond,63,74
2014,holy-cross,harvard,72,82
2014,holy-cross,sacred-heart,122,118
2014,holy-cross,north-carolina,54,62
2014,holy-cross,fairfield,63,49
2014,houston-baptist,texas-tech,61,76
2014,houston-baptist,texas,61,89
2014,houston-baptist,wright-state,59,75
2014,houston,texas-state,76,70
2014,houston,texas-pan-american,77,65
2014,houston,texas-san-antonio,80,62
2014,houston,lehigh,80,66
2014,houston,howard,75,62
2014,howard,old-dominion,57,77
2014,howard,harvard,44,76
2014,howard,pittsburgh,52,84
2014,howard,houston,62,75
2014,idaho-state,arizona-state,60,88
2014,idaho-state,san-francisco,93,90
2014,idaho,western-illinois,67,63
2014,idaho,oklahoma,65,85
2014,idaho,portland,74,88
2014,idaho,north-texas,87,76
2014,illinois,alabama-state,80,63
2014,illinois,jacksonville-state,86,62
2014,illinois,valparaiso,64,52
2014,illinois,bradley,81,55
2014,illinois,chicago-state,77,53
2014,illinois-state,virginia-commonwealth,58,96
2014,illinois-state,drexel,70,78
2014,illinois-state,northwestern,68,64
2014,illinois-state,manhattan,70,79
2014,illinois-chicago,drake,59,61
2014,illinois-chicago,eastern-illinois,66,86
2014,illinois-chicago,northwestern,58,93
2014,indiana,chicago-state,100,72
2014,indiana,long-island-university,73,72
2014,indiana,samford,105,59
2014,indiana,stony-brook,90,74
2014,indiana,washington,102,84
2014,indiana,connecticut,58,59
2014,indiana-state,ball-state,82,73
2014,indiana-state,belmont,95,96
2014,indiana-state,notre-dame,83,70
2014,iona,cleveland-state,69,73
2014,iona,wofford,76,55
2014,iona,kansas,66,86
2014,iowa,north-carolina-wilmington,82,39
2014,iowa,nebraska-omaha,83,75
2014,iowa,maryland-eastern-shore,109,63
2014,iowa,abilene-christian,103,41
2014,iowa,pennsylvania,86,55
2014,iowa-state,north-carolina-wilmington,95,62
2014,iowa-state,texas-am-corpus-christi,80,50
2014,iowa-state,michigan,77,70
2014,iowa-state,brigham-young,90,88
2014,ipfw,dayton,80,81
2014,ipfw,texas-am-corpus-christi,71,72
2014,ipfw,texas-pan-american,66,60
2014,ipfw,tennessee-tech,69,66
2014,iupui,utah-valley,66,74
2014,iupui,evansville,78,84
2014,iupui,southeast-missouri-state,68,76
2014,iupui,northwestern,61,63
2014,jackson-state,southern-mississippi,51,67
2014,jackson-state,arkansas-state,61,65
2014,jackson-state,air-force,84,82
2014,jackson-state,colorado,70,94
2014,jackson-state,wyoming,65,73
2014,jackson-state,tennessee-martin,68,64
2014,jacksonville,florida-state,67,91
2014,jacksonville,gardner-webb,78,87
2014,jacksonville,wake-forest,83,90
2014,jacksonville-state,bradley,65,72
2014,jacksonville-state,illinois,62,86
2014,jacksonville-state,chicago-state,75,79
2014,jacksonville-state,alabama-state,73,84
2014,jacksonville-state,auburn,54,78
2014,james-madison,virginia,41,61
2014,james-madison,northern-illinois,60,55
2014,james-madison,milwaukee,66,77
2014,james-madison,san-jose-state,79,66
2014,james-madison,detroit-mercy,67,71
2014,kansas,louisiana-monroe,80,63
2014,kansas,duke,94,83
2014,kansas,iona,86,66
2014,kansas,towson,88,58
2014,kansas-state,northern-colorado,58,60
2014,kansas-state,oral-roberts,71,63
2014,kansas-state,long-beach-state,71,58
2014,kansas-state,charlotte,61,68
2014,kansas-state,georgetown,63,90
2014,kennesaw-state,youngstown-state,57,73
2014,kennesaw-state,eastern-kentucky,60,68
2014,kennesaw-state,florida-international,58,66
2014,kennesaw-state,mississippi-state,55,78
2014,kennesaw-state,chattanooga,73,69
2014,kent-state,temple,81,77
2014,kent-state,seton-hall,76,78
2014,kent-state,saint-peters,75,58
2014,kent-state,western-carolina,72,59
2014,kent-state,south-carolina-upstate,79,78
2014,kentucky,north-carolina-asheville,89,57
2014,kentucky,northern-kentucky,93,63
2014,kentucky,michigan-state,74,78
2014,kentucky,robert-morris,87,49
2014,kentucky,texas-arlington,105,76
2014,la-salle,manhattan,90,99
2014,la-salle,quinnipiac,73,67
2014,la-salle,siena,78,74
2014,la-salle,penn-state,72,79
2014,la-salle,morgan-state,78,59
2014,lafayette,villanova,59,75
2014,lafayette,robert-morris,81,90
2014,lafayette,princeton,80,81
2014,lamar,butler,58,89
2014,lamar,george-mason,54,68
2014,lamar,washington-state,64,84
2014,lamar,savannah-state,75,66
2014,lamar,utah,57,84
2014,lehigh,minnesota,62,81
2014,lehigh,rider,92,78
2014,lehigh,fordham,72,80
2014,lehigh,houston,66,80
2014,lehigh,pittsburgh,58,77
2014,liberty,william-mary,72,84
2014,liberty,western-carolina,63,68
2014,liberty,north-carolina-wilmington,76,87
2014,lipscomb,belmont,83,87
2014,lipscomb,vanderbilt,69,80
2014,lipscomb,tennessee-state,75,70
2014,lipscomb,belmont,64,94
2014,long-beach-state,arizona,57,91
2014,long-beach-state,loyola-marymount,73,74
2014,long-beach-state,kansas-state,58,71
2014,long-beach-state,michigan,61,85
2014,long-beach-state,virginia-commonwealth,67,73
2014,long-island-university,saint-peters,87,80
2014,long-island-university,indiana,72,73
2014,long-island-university,california-irvine,64,84
2014,longwood,south-carolina,44,82
2014,longwood,texas-christian,82,79
2014,longwood,brown,69,81
2014,louisiana-state,massachusetts,90,92
2014,louisiana-state,northwestern-state,88,74
2014,louisiana-state,new-orleans,81,54
2014,louisiana-state,southeastern-louisiana,89,66
2014,louisiana-tech,saint-marys-ca,70,83
2014,louisiana-tech,central-arkansas,94,57
2014,louisiana-lafayette,mcneese-state,92,66
2014,louisiana-lafayette,arkansas,63,76
2014,louisiana-lafayette,baylor,68,87
2014,louisiana-monroe,kansas,63,80
2014,louisiana-monroe,samford,86,52
2014,louisiana-monroe,northwestern-state,84,80
2014,louisville,college-of-charleston,70,48
2014,louisville,hofstra,97,69
2014,louisville,cornell,99,54
2014,louisville,hartford,87,48
2014,loyola-il,milwaukee,76,72
2014,loyola-il,tennessee-tech,69,74
2014,loyola-il,tulane,59,65
